,Action,Object,Image_Name,KLD,SIM,NSS
94,hold,bowl,bowl_000546.jpg,1.1123,0.6279,0.6261
95,hold,knife,knife_002682.jpg,1.7958,0.2843,1.7543
96,drink_with,bottle,bottle_003259.jpg,1.146,0.3604,2.4879
97,drink_with,cup,cup_000508.jpg,0.3109,0.6835,3.1232
98,drink_with,wine_glass,wine_glass_003343.jpg,3.095,0.0995,-0.056
99,brush_with,toothbrush,toothbrush_001764.jpg,2.1206,0.1551,0.8262
100,throw,soccer_ball,soccer_ball_003436.jpg,1.3971,0.2971,2.4096
101,throw,frisbee,frisbee_003249.jpg,0.6144,0.5618,0.5538
102,throw,discus,discus_003558.jpg,0.9935,0.4747,0.5374
103,throw,rugby_ball,rugby_ball_000001.jpg,0.9677,0.5799,0.6315
104,throw,baseball,baseball_002670.jpg,0.4124,0.629,3.5343
105,throw,basketball,basketball_003534.jpg,0.3731,0.6487,3.4827
106,beat,drum,drum_002586.jpg,0.1601,0.7903,1.1019
107,lift,fork,fork_001691.jpg,2.3447,0.2596,0.4949
108,talk_on,cell_phone,cell_phone_000601.jpg,0.8095,0.5356,1.4327
109,push,bicycle,bicycle_002432.jpg,12.0479,0.0006,-0.6111
110,push,motorcycle,motorcycle_003541.jpg,0.7435,0.5039,2.128
111,eat,hot_dog,hot_dog_002166.jpg,1.4584,0.5952,0.8653
112,eat,carrot,carrot_001443.jpg,0.9069,0.4389,2.4916
113,eat,orange,orange_001193.jpg,1.6818,0.5188,1.1075
114,eat,banana,banana_002458.jpg,0.2568,0.7517,1.4471
115,eat,broccoli,broccoli_002796.jpg,0.1803,0.7848,1.6551
116,eat,apple,apple_001541.jpg,1.0291,0.5906,0.8986
117,swing,baseball_bat,baseball_bat_001882.jpg,1.7844,0.2694,1.1062
118,swing,tennis_racket,tennis_racket_003066.jpg,2.2765,0.1912,0.5356
119,swing,golf_clubs,golf_clubs_001992.jpg,2.6416,0.1943,0.7273
120,swing,badminton_racket,badminton_racket_003649.jpg,2.0725,0.2199,1.0521
